id,outcome
6873,2
41390,7
38408,2
30280,7
11084,4
15885,12
15300,9
15923,12
36115,0
40329,6
45109,16
4245,2
52620,5
2326,12
48438,20
1576,5
19259,18
50071,4
14425,18
47188,3
4989,2
19238,6
13200,17
8989,4
48480,15
10138,1
41448,7
34802,24
3599,3
39916,6
13272,4
7813,4
15280,1
24129,1
2032,12
52914,4
21666,15
38977,6
10287,6
48897,7
21735,15
30165,4
33204,2
29302,0
37613,3
29942,4
1988,11
14823,3
1645,1
26006,2
3748,12
37465,17
39689,6
43862,1
30965,4
42909,1
9739,7
38983,13
36035,0
27944,9
44787,6
11663,18
32115,3
37445,21
52553,1
7297,0
26112,2
36516,17
45152,16
13607,1
51214,7
24262,2
35640,7
39186,4
22233,12
29795,4
43707,7
23597,4
2344,12
25575,1
36962,1
21504,4
37145,1
43489,7
44826,16
29850,4
8423,1
20694,13
48486,15
35992,0
15711,12
17173,10
24468,21
24375,2
15692,12
32965,2
36404,17
17935,19
9275,18
11488,12
38910,6
43321,3
29431,12
39020,4
38192,2
45172,21
32776,3
5493,4
51652,4
47925,17
48074,17
2560,6
36988,9
36456,17
28985,3
2249,12
38779,1
8593,3
21269,3
22184,8
28503,12
32773,3
20909,13
14005,12
19872,4
29704,4
53946,4
16167,0
28986,3
6203,12
51649,4
5211,12
11567,17
53470,17
18003,21
42254,17
4688,2
103,4
9753,7
20965,12
48663,0
9123,3
48997,7
21860,15
18936,2
35830,0
4816,21
21601,15
8278,17
31220,17
35184,18
33941,0
24505,21
42200,17
11632,17
35142,18
26346,12
16054,18
18670,8
9472,4
2906,21
7714,6
19564,4
53244,17
47005,3
11163,13
26895,42
4903,13
31285,17
16853,6
36307,17
38804,10
31680,2
43023,4
17146,10
31409,2
23581,4
25334,13
2865,4
37482,3
32406,21
31168,17
30005,4
5844,12
39826,3
9979,17
46908,3
24524,16
45672,4
3352,21
12306,8
11912,7
15791,8
44432,4
11156,13
22538,2
34108,0
16938,6
48271,13
4942,13
41490,7
39458,7
10277,3
44521,6
5639,12
48764,0
45637,4
31150,17
39913,4
39115,4
1614,4
53408,17
18116,0
16214,3
46303,4
48084,17
34126,4
37982,7
29452,12
41260,4
5431,2
4448,4
9880,17
36,4
44011,17
46022,4
36424,17
39830,3
24472,21
33242,2
36860,1
9991,17
6416,5
34626,6
31157,17
32484,3
22121,4
3884,3
23697,6
31660,2
7982,1
46947,3
25404,4
42729,8
8455,9
19280,10
6966,16
12679,4
33213,2
10383,7
36333,17
29049,10
15745,12
53773,4
37564,19
16513,2
25161,13
46098,4
8258,21
4607,2
46007,4
21895,15
39599,4
8022,7
45520,4
28822,3
3294,10
4585,2
7427,0
15556,1
39433,3
24692,21
1695,1
53191,17
9515,4
15176,3
3919,15
38734,1
32300,3
34548,6
47739,4
38805,10
51972,1
35812,0
1945,3
50862,1
22697,3
51549,8
10561,6
4126,8
53091,4
52931,4
45687,20
23484,4
30326,7
37253,11
22858,2
23883,2
16995,1
46342,4
14070,21
30558,3
12443,2
34317,3
12786,12
49575,8
16672,6
51260,4
25771,1
25465,4
10042,8
19144,10
44958,16
1328,4
7246,2
16397,2
50808,4
36496,17
12737,4
45994,4
9260,42
11198,24
6252,12
31727,1
22896,0
31876,16
5232,8
28443,12
2715,10
15075,12
43260,3
41409,7
46401,4
2142,12
20984,12
22091,4
34958,18
20995,8
31577,2
4090,8
39827,0
52332,12
51747,4
